"No.","Time","Source","Destination","Protocol","Length","Info"
"4066","50.866112","192.168.1.26","192.168.1.12","HTTP","150","HEAD /Alpenvereinshutte.mp4 HTTP/1.1 "
"4078","50.886896","192.168.1.26","192.168.1.12","HTTP","159","HEAD /Alto-To-Blue-Ridge-Parkway.mp4 HTTP/1.1 "
"4090","50.914763","192.168.1.26","192.168.1.12","HTTP","141","HEAD /amy-2016.mp4 HTTP/1.1 "
"4100","50.981472","192.168.1.26","192.168.1.12","HTTP","138","HEAD /amy-1.mp4 HTTP/1.1 "
"4113","51.010788","192.168.1.26","192.168.1.12","HTTP","138","HEAD /amy-2.mp4 HTTP/1.1 "
"4125","51.034298","192.168.1.26","192.168.1.12","HTTP","138","HEAD /amy-3.mp4 HTTP/1.1 "
"4138","51.057661","192.168.1.26","192.168.1.12","HTTP","138","HEAD /amy-4.mp4 HTTP/1.1 "
"4149","51.176176","192.168.1.26","192.168.1.12","HTTP","139","HEAD /ananga.mp4 HTTP/1.1 "
"4164","51.200705","192.168.1.26","192.168.1.12","HTTP","147","HEAD /Anavasi-Arfara.mp4 HTTP/1.1 "
"4177","51.225961","192.168.1.26","192.168.1.12","HTTP","159","HEAD /Anavasi-Kalamata-Kardamyli.mp4 HTTP/1.1 "
"4188","51.246048","192.168.1.26","192.168.1.12","HTTP","159","HEAD /Anavasi-Kardamyli-Kalamata.mp4 HTTP/1.1 "
"4198","51.272063","192.168.1.26","192.168.1.12","HTTP","148","HEAD /Anavasi-Thouria.mp4 HTTP/1.1 "
"4213","51.294891","192.168.1.26","192.168.1.12","HTTP","148","HEAD /Ancient-Messini.mp4 HTTP/1.1 "
"4226","51.324927","192.168.1.26","192.168.1.12","HTTP","145","HEAD /andratx-2018.mp4 HTTP/1.1 "
"4238","51.346730","192.168.1.26","192.168.1.12","HTTP","145","HEAD /soller-coast.mp4 HTTP/1.1 "
"4250","51.371785","192.168.1.26","192.168.1.12","HTTP","153","HEAD /Anfi-to-Taurito-Loop.mp4 HTTP/1.1 "
"4262","51.397738","192.168.1.26","192.168.1.12","HTTP","140","HEAD /angliru.mp4 HTTP/1.1 "
"4274","51.427861","192.168.1.26","192.168.1.12","HTTP","142","HEAD /Ano-Verga.mp4 HTTP/1.1 "
"4287","51.448796","192.168.1.26","192.168.1.12","HTTP","140","HEAD /Antwerp.mp4 HTTP/1.1 "
"4299","51.476868","192.168.1.26","192.168.1.12","HTTP","151","HEAD /Training-Route-MVP.mp4 HTTP/1.1 "
"4310","51.502589","192.168.1.26","192.168.1.12","HTTP","150","HEAD /Aquila-Game-Drive.mp4 HTTP/1.1 "
"4321","51.529636","192.168.1.26","192.168.1.12","HTTP","146","HEAD /Arawaka-River.mp4 HTTP/1.1 "
"4332","51.549218","192.168.1.26","192.168.1.12","HTTP","145","HEAD /steall-gorge.mp4 HTTP/1.1 "
"4342","51.577678","192.168.1.26","192.168.1.12","HTTP","162","HEAD /Arguineguin-to-Meloneras-Loop.mp4 HTTP/1.1 "
"4355","51.600112","192.168.1.26","192.168.1.12","HTTP","153","HEAD /Arguineguin-to-Soria.mp4 HTTP/1.1 "
"4366","51.623426","192.168.1.26","192.168.1.12","HTTP","151","HEAD /Around-Lake-Ontake.mp4 HTTP/1.1 "
"4378","51.649807","192.168.1.26","192.168.1.12","HTTP","160","HEAD /Around-Rocky-Valley-Storage.mp4 HTTP/1.1 "
"4391","51.679573","192.168.1.26","192.168.1.12","HTTP","151","HEAD /Scenic-Bavaria-One.mp4 HTTP/1.1 "
"4403","51.705699","192.168.1.26","192.168.1.12","HTTP","141","HEAD /wk-runde.mp4 HTTP/1.1 "
"4415","51.740428","192.168.1.26","192.168.1.12","HTTP","150","HEAD /arthurs-seat-2018.mp4 HTTP/1.1 "
"4427","51.773393","192.168.1.26","192.168.1.12","HTTP","176","HEAD /Arthurs-Seat-Main-Ridge-And-Red-Hill-Climbs.mp4 HTTP/1.1 "
"4439","51.795783","192.168.1.26","192.168.1.12","HTTP","157","HEAD /Arthurs-Seat-To-Flinders.mp4 HTTP/1.1 "
"4451","51.828141","192.168.1.26","192.168.1.12","HTTP","149","HEAD /Artignosc-Verdon.mp4 HTTP/1.1 "
"4463","51.857552","192.168.1.26","192.168.1.12","HTTP","151","HEAD /as-flat-as-it-gets.mp4 HTTP/1.1 "
"4475","51.882373","192.168.1.26","192.168.1.12","HTTP","166","HEAD /Ascent-From-Celje-To-Celjska-Koca.mp4 HTTP/1.1 "
"4487","51.910060","192.168.1.26","192.168.1.12","HTTP","158","HEAD /Ashuwillticook-Rail-Trail.mp4 HTTP/1.1 "
"4498","51.937270","192.168.1.26","192.168.1.12","HTTP","152","HEAD /National%20ITT-2021.mp4 HTTP/1.1 "
"4510","51.960396","192.168.1.26","192.168.1.12","HTTP","152","HEAD /National%20ITT-2021.mp4 HTTP/1.1 "
"4524","51.996509","192.168.1.26","192.168.1.12","HTTP","149","HEAD /National-RR-2021.mp4 HTTP/1.1 "
"4536","52.018869","192.168.1.26","192.168.1.12","HTTP","139","HEAD /TT-U23.mp4 HTTP/1.1 "
"4545","52.046532","192.168.1.26","192.168.1.12","HTTP","152","HEAD /Ride-Through-Karsau.mp4 HTTP/1.1 "
"4558","52.070138","192.168.1.26","192.168.1.12","HTTP","140","HEAD /AvioSan.mp4 HTTP/1.1 "
